HITId,Task
2OM6OQ1SNQQAPID7EEHKMNR1AAK6QO,FactSpan
2GZHRRLFQ0OQM7XOAX8OJEGRJOZQH8,FactSpan
27DJ8EBDPGFO57IW5C0RXDWIWCV1GQ,FactSpan
2H6HOVR14IXNNERGBU5C6A6XBFH87D,FactSpan
285DWIOV1S7VMFJ0P7S38DZ8VPKYJO,FactSpan
20WNLVWJ5OPEZA1N8LPM6B7EXQN2U7,FactSpan
2JSOO2GMMEGRNSWZLZXIKA2SMZN880,FactSpan
22GHVI44OS2NK6EKWRQSLAP5JIT5Z0,FactSpan
2BGT3DHJHP4ECPQNDBZR2X9XBXW2VW,FactSpan
2E2NQY2RCJK92B1LCUI0UUIAYQCT43,FactSpan
2L0XKO2L92HHB8GD6GPOMCF0K7DFE4,FactSpan
24C8LZ6R70G8QLEKHWUVO7WS0BV7NH,FactSpan
27MJ3NAB6BFPERU57VK13JFDOW1GTV,FactSpan
24BBJ3MMDX5IOJTDBX8BJMDXW07DZY,FactSpan
2UVP8PJWKUDG79SIC3U990B62BX8J2,FactSpan
2ZRNZW6HEZ6RDGW3G6Z6JGUMAJ9PZN,FactSpan
25KGMMEGOOGTROSDRN122EIU2C9BBJ,FactSpan
25KL92HECWA9WF4VLP60MP5K571IJJ,FactSpan
243VWJ5OPB01US5F7ZNBHEP92L94WL,FactSpan
27C8Y1THV8EU8AE0WX9M9SM5SXPN0X,FactSpan
256GQSCM6IAD14KP37L0AOQKSWKIIN,FactSpan
2NPD1X3V0FK3B0Q9SRSMHPKKH78ELP,FactSpan
2OVZKPFE4EGGGPS9EYZIJNZWE3VH7Z,FactSpan
20CNU8LZ6R73FHXGHQZJDVE74E85LE,FactSpan
289LFQ0ONNVUGDQOXM5G1B76VHPTKQ,FactSpan
26OAUC26DG6ACD3A4D6KACOKA5VC56,FactSpan
2K839Z0B6UTR55AL45KV1KGP4ECYNP,FactSpan
217FE4EGDHDP1HRFRMEZ66HE7S4AKM,FactSpan
2CEAVKI62NJT1DD98M0QR6BKTYBKSS,FactSpan
2NA8SV7WGKCFUXRALNU3WHAPYQT1RJ,FactSpan
2KD0FK0COK2MDDSEYXB9VRW6WLQQJA,FactSpan
236FXRDS4IC4DAJU6W6MB1A2QHEVY3,FactSpan
2IKA1QP6AUC55PMDGQSXDV0FSMT70N,FactSpan
2QH6KW4ZMAZKG3XSO3ROXNVRPN1H8M,FactSpan
2H6UQIHPCGJ5CE7VC9WXR0JPXEZ71Q,FactSpan
2E4B3Q39Z0B9T5UD2H5V2TVRS7RVK4,FactSpan
25ZOVR14IXKR1XF9QR3WK6X36FF98K,FactSpan
2RVZXR24SME2YESPTZE948P96UBH0V,FactSpan
25UCF0CP5KXSSUTPRAPGEPM7VP9WX5,FactSpan
25CQIHPCGJ2G1DUA5IOHAJPP09628M,FactSpan
2B5U8LZ6R70J43FFMLA35E7W0JW6MU,FactSpan
2JNL8I9NZW6KDBCVNHHWHT86H7WVL7,FactSpan
2NA8SV7WGKCFUXRALNU3WHAPYVF1RF,FactSpan
2GDXX2Q45UUNP04NWVN1XS8OOR4SAI,FactSpan
26QPJWKUDD80LN9XCMQ0L6UTWXVLAW,FactSpan
222H1Q6SVQ8K7KSX3JC5YBVCQSU3ML,FactSpan
2EF2Q45UUKQRXSTP5EESIOG09RAUC2,FactSpan
230KMN9U8P912KZ35A932UYIURMUD2,FactSpan
26XE4EGDHDM54XEPI0QWGHEZEFGLBR,FactSpan
2N633FDEY5CRVCRN0CU8MRFLKXY1S3,FactSpan
2J4IKMN9U8PCXFE059OIDSUYQD2TC9,FactSpan
20EKUDD8XMB6PFF69OXU3O6TC71DOF,FactSpan
24192NJKM05ELVZ1QBN2QTP9Z3CFAS,FactSpan
24VWIOV1S7SQ2PZN3EUYNZ8NGK0KZ0,FactSpan
27M5UUKQOYGQH87U1LFGA1070OMFXX,FactSpan
292MT6YTWX4K2T8WKH49JGI6QCW1WO,FactSpan
2C73TVOK5UFM4D4EZRFZPYQS95X745,FactSpan
2MAW6NG1FS3QXZPI7SSF9SZLAQWKY9,FactSpan
2NFBAT2D5NQ1MHLAZDAGFTYMV5173K,FactSpan
2PWBDPGFL6VFO85G004WSOV100X4J9,FactSpan
2QH6KW4ZMAZKG3XSO3ROXNVRPUQ8HG,FactSpan
2QKNJKM05BMMS6N55F7TZ9RAFLACHP,FactSpan
2RB2D5NQYN5I226QPIKYWNCW64A6AH,FactSpan
2RIRYNJ92NJNLCBIVWKURYW2OMVB6H,FactSpan
2SKYU98JHSTOAFR7OOA9SOBJMCXDPW,FactSpan
2TATMOFXRDS7HO7L7QEXTFM1937VSS,FactSpan
2TX0CP5KXPTLMUO47TVPW7NYEZ8YZ8,FactSpan
2ZZPCGJ2D21R28B4QDAPZSI2SRKB51,FactSpan
2MFH0JPPSI2NXQVS12Y5ULM64HEIO1,FactSpan
2Q69Z6KW4ZMDYTNY0Y6QAONN3PT6FA,FactSpan
2ZCUU00OQKKD3UOZH5TUC680MUAWWX,FactSpan
2EXB0HFL42J4KABFKKT7W0IGNISL0S,FactSpan
2FB3DHJHP4BGCWMB7LIS79X3O1H3WZ,FactSpan
2PG1THV8ER9175TRRZQSW5KFPQD2PR,FactSpan
2ZZPCGJ2D21R28B4QDAPZSI2SWP5BA,FactSpan
23DHVKCJ011N1JAQGMBQ6618V2I97K,FactSpan
2KZVWAVKI62QI288GFQ9JQH6JIWQIH,FactSpan
2PZ88MQU6L5RA7IPA4OXEAIJN5RCVV,FactSpan
2OEGKCCVLL3F9F9TQNGQEC9NYSIW6X,FactSpan
2C6X7H57DZKSEQALPQ8DW25LGGL1BP,FactSpan
2GOR70G5R98G7V92NKNS2TNYKEFBRV,FactSpan
2VU1PC6SK9RM7HU6RC5HWAAPUMZ2QI,FactSpan
2DJVP9746OQ4RZWXG3X7A51QSAYL1V,FactSpan
295QQ7Q67054PWIU0ETT0C1XUETCW5,FactSpan
2CZVKCJ011K56GPEIXHWG18NC45A8M,FactSpan
2K6U3K4F0OHRU37BRABOCL92QGU10I,FactSpan
2B3RGNTBJ3MPC9BMYKE6CKHBIOUV9C,FactSpan
2G151RYQM3EOPZSJZLKG4FTE3V70Z6,FactSpan
2BLK4F0OHOVU0GO4T1TLJ2HELYR23U,FactSpan
2X2CCVLL3CA62YNHY3VCJNQUGZEY8Z,FactSpan
2QP46OQ1SNQT62CE9ISQUCNRA49P5T,FactSpan
2E2NQY2RCJK92B1LCUI0UUIAZB04T9,FactSpan
2RWSCWY2AOO5FYSLP1FG0SCMFKR22J,FactSpan
298V66RLPHIW2T13J8BIG2NJZ4IF7W,FactSpan
2HNBMJTUHYW5F5VG0NYSFWM1FBFNI6,FactSpan
21NUFJ51Y7QHNBL5Z5SC2TMOOZ8AD7,FactSpan
23DHVKCJ011N1JAQGMBQ6618W6N79W,FactSpan
2WIOHOVR14I0J08SIF8EMWA665G67L,FactSpan
2Y4VHVKCJ014JEDBSK0K0W61HPM688,FactSpan
2SOBFMFFOYYLSDZQOQ7E2C0R6Y6ZME,FactSpan
23ZGYQ4J3NAE5NLTOSFY8IT12LWCPP,FactSpan
2KBVOK5UFJ54XJWLXC6Y0S1C1V469X,FactSpan
2I8P6AUC26DJ5JJ86GM0PK0CX14A3O,FactSpan
29UXKNQY2RCMJI964RUH10KURRS2RD,FactSpan
