"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"666","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"667","TWrex-diagnose","tuberculosis","173","185","ppd","147","150","Sixteen of the reagents were new tuberculins prepared from extracts of living mycobacteria disrupted by ultrasonic disintegration and the last was ppd, RT23.The effect that tuberculosis exerted on the delayed-type skin test response to these antigens was assessed by comparing results for tuberculosis patients with those for Tuberculin positive and Tuberculin negative control populations."
"668","TWrex-diagnose","tuberculosis","289","301","ppd","147","150","Sixteen of the reagents were new tuberculins prepared from extracts of living mycobacteria disrupted by ultrasonic disintegration and the last was ppd, RT23.The effect that tuberculosis exerted on the delayed-type skin test response to these antigens was assessed by comparing results for tuberculosis patients with those for Tuberculin positive and Tuberculin negative control populations."
"669","TWrex-diagnose","pituitary","34","43","thyrotropin","141","152","Dynamic tests of the hypothalamic-pituitary axis included growth hormone releasing hormone (GHRH), gonadotropin releasing hormone (GnRH) and thyrotropin releasing hormone (TRH) stimulations with measurements of serum growth hormone (GH), follicle stimulating hormone (FSH), luteinizing hormone (LH), thyrotropin (TSH) and prolactin (PRL) responses."
"670","TWrex-diagnose","pituitary","34","43","thyrotropin","300","311","Dynamic tests of the hypothalamic-pituitary axis included growth hormone releasing hormone (GHRH), gonadotropin releasing hormone (GnRH) and thyrotropin releasing hormone (TRH) stimulations with measurements of serum growth hormone (GH), follicle stimulating hormone (FSH), luteinizing hormone (LH), thyrotropin (TSH) and prolactin (PRL) responses."
"671","TWrex-diagnose","tuberculosis","40","52","tuberculin","60","70","The most common test to identify latent tuberculosis is the tuberculin skin test that detects T cell responses of delayed type hypersensitivity type IV."
"672","TWrex-diagnose","tuberculosis","180","192","ppd","93","96","The tuberculin tine (old tuberculin) and the Mantoux (stabilised purified protein derivative-ppd) tests were compared by using them in two simultaneous skin tests on patients with tuberculosis."
"673","TWrex-diagnose","infection","290","299","test","192","196","The aims of this study were to evaluate the sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and diagnostic accuracy of a rapid serum and whole-blood test, Quick Vue One-Step H. pylori test (Quidel Corporation) for detection of Helicobacter pylori infection."
"674","TWrex-diagnose","infection","290","299","test","227","231","The aims of this study were to evaluate the sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and diagnostic accuracy of a rapid serum and whole-blood test, Quick Vue One-Step H. pylori test (Quidel Corporation) for detection of Helicobacter pylori infection."
"675","TWrex-diagnose","tuberculosis","64","76","ppd","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as tuberculosis by isolation of Mycobacterium tuberculosis or combination of family contact, radiographic findings suggesting tuberculosis, and positive reaction of 5 mm or more induration to ppd tuberculin."
